date|time|description|vendor|amount
2024-02-11|09:14:22|Subscription renewal|Adobe|-54.99
2024-03-03|10:22:41|Office snacks|Costco|-67.30
2024-04-17|11:18:12|Consulting income|Client|950.00
2024-05-09|13:05:37|Internet bill|Comcast|-95.00
2024-06-20|14:16:55|Printer paper|Office Depot|-22.30
2024-07-04|09:44:18|Client payment|Customer|1250.00
2024-07-29|10:55:44|Ink cartridges|HP Store|-89.90
2024-08-10|11:08:59|Domain renewal|GoDaddy|-18.00
2024-09-13|12:14:27|Consultation fee|Client|300.00
2024-10-21|15:22:50|Software update|Apple|-49.99
2024-11-02|10:05:44|Service income|Customer|725.00
2024-11-27|14:42:13|Desk chair|IKEA|-159.00
2024-12-04|11:19:08|Client payment|Customer|980.00
2024-12-17|15:35:59|Printer maintenance|TechFix|-64.40
2025-01-10|10:14:26|Meeting lunch|Panera|-32.10
2025-01-23|13:00:47|Hardware parts|Newegg|-146.75
2025-02-05|09:09:12|Consulting retainer|Client|2500.00
2025-02-18|12:24:50|Cleaning supplies|Walmart|-38.50
2025-03-03|11:33:20|Electricity bill|UtilityCo|-220.00
2025-03-14|14:17:41|Training session|Client|600.00
2025-04-07|13:21:33|Web hosting|Bluehost|-12.99
2025-04-25|11:26:08|Team lunch|Chipotle|-85.60
2025-05-03|14:36:10|Payment from client|Customer|450.00
2025-05-19|09:11:36|Advertising|Meta|-150.00
2025-06-06|13:45:11|Consulting fee|Client|800.00
2025-06-18|15:09:50|Hardware refund|Newegg|46.75
2025-07-02|10:49:09|Software purchase|Adobe|-129.00
2025-07-16|12:33:33|Office decorations|IKEA|-94.30
2025-08-01|09:57:25|Freelance income|Upwork|780.00
2025-08-14|10:31:18|Internet bill|Comcast|-95.00
2025-09-03|13:05:42|Phone bill|Verizon|-76.25
2025-09-08|14:10:09|Client transfer|Customer|1100.00
2025-09-20|09:14:45|Gift card purchase|Amazon|-50.00
2025-09-27|12:18:59|Equipment sale|Customer|240.00
2025-10-01|09:23:16|Courier expense|FedEx|-22.40
2025-10-03|10:27:28|Technical support|Client|500.00
2025-10-05|11:14:16|ama|customer|112.00
2025-10-05|11:15:22|Ergonomic table|Amazon|-82.90
2025-10-06|09:17:00|Invoice 1001|Estifanos|34500.00
2025-10-06|09:35:44|Monitor stand|Amazon|-29.99
2025-10-07|11:39:50|Coffee supplies|Walmart|-48.22
2025-10-07|13:41:13|Payment received|Customer|420.00
2025-10-09|09:45:09|Software license|Microsoft|-199.00
2025-10-10|14:17:23|Office rent|Landlord|-1200.00
2025-10-10|14:20:10|gamming laptop|customer|1200.00
2025-10-10|14:28:29|Invoice #456|staples|-56.90
2025-10-11|09:52:10|USB-C hubs|BestBuy|-74.80
2025-10-11|13:56:39|Client deposit|Customer|850.00
2025-10-12|12:01:15|Cloud service fee|Google|-89.00
2025-10-13|14:27:28|Final project payment|Client|1500.00
2025-10-13|14:16:05|AAA Insurance|-78.90|-78.90
2025-10-13|14:18:24|Insurance payment|AAA Insurance|-79.92
2025-10-14|09:15:06|plural|customer|23899.00
2025-10-14|10:32:53|Gym Membership|LA fitness|35.00
2025-10-14|10:54:16|Netflix|customer Id 2039|9.99
2025-10-14|11:19:12|Transaction 1010|Nike|-350.00
2025-10-15|09:07:40|Apple Inc.|Shareholder #686980|35000.00
2025-10-15|09:35:32|Payment for Iphone 17|Apple Inc|-2000.00
